Abandon	Abandon	NN	negative	0/0/0	D
Abart	Abart	NN	negative	0/0/0	D
Abbau	Abbau	NN	negative	0/-0.058/0	L
Abbaue	Abbau	NN	negative	0/-0.058/0	L
Abbauen	Abbau	NN	negative	0/-0.058/0	L
Abbaues	Abbau	NN	negative	0/-0.058/0	L
Abbaus	Abbau	NN	negative	0/-0.058/0	L
Abbildungsfehler	Abbildungsfehler	NN	negative	0/0/0	D
Abbildverzerrung	Abbildverzerrung	NN	negative	0/0/0	D
Abblendung	Abblendung	NN	negative	0/0/0	D
Abbohrung	Abbohrung	NN	negative	0/0/0	D
Abbruch	Abbruch	NN	negative	0/-0.0048/0	L
Abbruches	Abbruch	NN	negative	0/-0.0048/0	L
Abbruchs	Abbruch	NN	negative	0/-0.0048/0	L
Abbruchstelle	Abbruchstelle	NN	negative	0/0/0	D
Abbrüche	Abbruch	NN	negative	0/-0.0048/0	L
Abbrüchen	Abbruch	NN	negative	0/-0.0048/0	L
Abdampf	Abdampf	NN	negative	0/0/0	D
Abdankung	Abdankung	NN	negative	0/-0.0048/0	L
Abdankungen	Abdankung	NN	negative	0/-0.0048/0	L
Abdämpfung	Abdämpfung	NN	negative	0/-0.0048/0	L
Abdämpfungen	Abdämpfung	NN	negative	0/-0.0048/0	L
Abenteuerlichkeit	Abenteuerlichkeit	NN	negative	0/0/0	D
Abenteuerpolitik	Abenteuerpolitik	NN	negative	0/0/0	D
Aberglaube	Aberglaube	NN	negative	0/0/0	D
Aberkennung	Aberkennung	NN	negative	0/0/0	D
Aberration	Aberration	NN	negative	0/0/0	D
Abfall	Abfall	NN	negative	0/-0.0048/0	L
Abfallbrennstoff	Abfallbrennstoff	NN	negative	0/0/0	D
Abfalles	Abfall	NN	negative	0/-0.0048/0	L
Abfallkorb	Abfallkorb	NN	negative	0/0/0	D
Abfallprodukt	Abfallprodukt	NN	negative	0/0/0	D
Abfallquote	Abfallquote	NN	negative	0/0/0	D
Abfalls	Abfall	NN	negative	0/-0.0048/0	L
Abfallstoff	Abfallstoff	NN	negative	0/0/0	D
Abfallstoffe	Abfallstoff	NN	negative	0/0/0	D
Abfallstutzen	Abfallstutzen	NN	negative	0/0/0	D
Abfallstück	Abfallstück	NN	negative	0/0/0	D
Abfluss	Abfluß	NN	negative	0/0/0	D
Abflussgraben	Abflussgraben	NN	negative	0/0/0	D
Abforderung	Abforderung	NN	negative	0/0/0	D
Abformung	Abformung	NN	negative	0/0/0	D
Abfuhr	Abfuhr	NN	negative	0/-0.3367/0	L
Abfuhren	Abfuhr	NN	negative	0/-0.3367/0	L
Abfälle	Abfall	NN	negative	0/-0.0048/0	L
Abfällen	Abfall	NN	negative	0/-0.0048/0	L
Abgabe	Abgabe	NN	negative	0/0/0	D
Abgang	Abgang	NN	negative	0/1/0	D
Abgas	Abgas	NN	negative	0/0/0	D
Abgaskanal	Abgaskanal	NN	negative	0/0/0	D
Abgeschiedenheit	Abgeschiedenheit	NN	negative	0/0/0	D
Abgeschlagenheit	Abgeschlagenheit	NN	negative	0/0/0	D
Abgespanntheit	Abgespanntheit	NN	negative	0/0/0	D
Abgestumpftheit	Abgestumpftheit	NN	negative	0/0/0	D
Abgrabung	Abgrabung	NN	negative	0/0/0	D
Abgrenzung	Abgrenzung	NN	negative	0/0/0	D
Abgrund	Abgrund	NN	negative	0/-0.3465/0	L
Abgunst	Abgunst	NN	negative	0/0/0	D
Abhaltung	Abhaltung	NN	negative	0/0/0	D
Abhängigkeit	Abhängigkeit	NN	negative	0/-0.3653/0	L
Abhängigkeiten	Abhängigkeit	NN	negative	0/-0.3653/0	L
Abhängigkeitssyndrom	Abhängigkeitssyndrom	NN	negative	0/0/0	D
Abhörgerät	Abhörgerät	NN	negative	0/0/0	D
Abhörsender	Abhörsender	NN	negative	0/0/0	D
Abhörwanze	Abhörwanze	NN	negative	0/0/0	D
Abkehr	Abkehr	NN	negative	0/0/0	D
Abklatsch	abklatschen	NN	negative	0/0.75/0.25	D
Abladeplatz	Abladeplatz	NN	negative	0/0/0	D
Ablagerung	Ablagerung	NN	negative	0/1/0	D
Ablass	Ablaß	NN	negative	0/0/1	D
Ablehnung	Ablehnung	NN	negative	0/-0.5118/0	L
Ablehnungen	Ablehnung	NN	negative	0/-0.5118/0	L
Ablehnungsrecht	Ablehnungsrecht	NN	negative	0/0/0	D
Ableitung	Ableitung	NN	negative	0/0/0	D
Ablenkung	Ablenkung	NN	negative	0/-0.0435/0	L
Ablenkungen	Ablenkung	NN	negative	0/-0.0435/0	L
Abläutern	Abläutern	NN	negative	0/0/0	D
Abmagerung	Abmagerung	NN	negative	0/0/0	D
Abmahnung	Abmahnung	NN	negative	0/0/0	D
Abnahme	Abnahme	NN	negative	0/-0.0048/0	L
Abnahmen	Abnahme	NN	negative	0/-0.0048/0	L
Abnahmeverweigerung	Abnahmeverweigerung	NN	negative	0/0/0	D
Abneigung	Abneigung	NN	negative	0/-0.0048/0	L
Abneigungen	Abneigung	NN	negative	0/-0.0048/0	L
Abnutzung	Abnutzung	NN	negative	0/-0.0048/0	L
Abnützung	Abnützung	NN	negative	0/1/0	D
Abquetschgrat	Abquetschgrat	NN	negative	0/0/0	D
Abquetschring	Abquetschring	NN	negative	0/0/0	D
Abrasivstoff	Abrasivstoff	NN	negative	0/0/0	D
Abraum	Abraum	NN	negative	0/0/0	D
Abrede	Abrede	NN	negative	1/0/0	D
Abriegelung	Abriegelung	NN	negative	0/0/0	D
Abriss	Abriss	NN	negative	0/-0.0048/0	L
Abrisse	Abriss	NN	negative	0/-0.0048/0	L
Abrissen	Abriss	NN	negative	0/-0.0048/0	L
Abrisses	Abriss	NN	negative	0/-0.0048/0	L
Abrisss	Abriss	NN	negative	0/-0.0048/0	L
Abrutsch	Abrutsch	NN	negative	0/-0.0048/0	L
Abrutsche	Abrutsch	NN	negative	0/-0.0048/0	L
Abrutschen	Abrutsch	NN	negative	0/-0.0048/0	L
